 Item Code, CPC Code, Item
1017,'21116,Meat of goat; fresh or chilled
1020,'02292,Raw milk of goats
1035,'21113.01,Meat of pig with the bone; fresh or chilled
1058,'21121,Meat of chickens; fresh or chilled
1062,'0231,Hen eggs in shell; fresh
1130,'02293,Raw milk of camel
1718,'F1718,Cereals excluding rice
27,'0113,Rice
867,'21111.01,Meat of cattle with the bone; fresh or chilled
882,'02211,Raw milk of cattle
947,'21112,Meat of buffalo; fresh or chilled
951,'02212,Raw milk of buffalo
977,'21115,Meat of sheep; fresh or chilled
982,'02291,Raw milk of sheep
